City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
164,laguna,38.421,-121.4238,53.96,28,0,16.11,US,2023-01-30 16:14:19
165,pisco,-13.7,-76.2167,71.65,83,0,18.41,PE,2023-01-30 16:17:56
166,torbay,47.6666,-52.7314,38.57,93,75,10.36,CA,2023-01-30 16:17:48
167,mwense,-10.3845,28.698,66.09,95,100,2.1,ZM,2023-01-30 16:17:57
168,nikolskoye,59.7035,30.7861,35.49,84,95,14.54,RU,2023-01-30 16:17:58
169,bairiki,1.3292,172.9752,86.0,74,40,12.66,KI,2023-01-30 16:17:58
170,jatiroto,-7.8833,111.1167,75.4,93,100,3.11,ID,2023-01-30 16:17:59
171,bima,-8.4667,118.7167,80.11,86,100,0.98,ID,2023-01-30 16:18:00
172,ahipara,-35.1667,173.1667,68.05,94,100,18.25,NZ,2023-01-30 16:18:00
173,port lincoln,-34.7333,135.8667,65.66,62,1,6.6,AU,2023-01-30 16:18:01
174,kang,-23.6752,22.7876,71.69,69,12,13.2,BW,2023-01-30 16:18:02
175,zaliztsi,49.7919,25.373,29.93,90,99,12.97,UA,2023-01-30 16:18:03
176,new norfolk,-42.7826,147.0587,73.71,44,22,1.57,AU,2023-01-30 16:18:04
177,dalton,34.7698,-84.9702,55.08,97,100,3.44,US,2023-01-30 16:15:04
178,andilamena,-17.0167,48.5833,66.7,95,86,4.29,MG,2023-01-30 16:18:06
179,te anau,-45.4167,167.7167,77.0,55,42,4.81,NZ,2023-01-30 16:18:07
180,luderitz,-26.6481,15.1594,59.97,94,0,5.95,NA,2023-01-30 16:18:08
181,lumeje,-11.55,20.7833,64.02,96,78,4.68,AO,2023-01-30 16:18:09
182,moron,-34.6534,-58.6198,78.96,78,0,9.84,AR,2023-01-30 16:18:09
183,gigmoto,13.7796,124.39,76.44,88,99,19.69,PH,2023-01-30 16:18:10
184,tautira,-17.7333,-149.15,80.94,76,14,13.58,PF,2023-01-30 16:18:11
